Huevo cocido,12.5,0.7,9.5,138.3,1,P
Clara de huevo,12.4,0.6,0,52,1,P
Huevo entero,12.7,0.7,12.1,162.5,1,P
Leche entera,3,4.5,3.6,62.4,1,C
Leche desnatada,3.1,4.7,0.3,33.9,1,C
Yogur griego desnatado,6.5,6.8,0.2,55,1,C
Queso fresco 0%,11.9,4,0.7,69.9,1,P
Requesón 0%,12.2,5.2,0.4,73.2,1,P
Ricotta,11,5,8,136,1,P
Filete de ternera,24,0,8,168,2,P
Muslo de pollo,20,0,11.2,180.8,2,P
Pechuga de pollo,22.2,0,6.2,144.6,2,P
Muslo de pavo,20.5,0,3.6,114.4,2,P
Pechuga de pavo,16,0.4,0.4,69.2,2,P
Bacalao fresco,17,0,1,77,2,P
Lenguado,18.8,0,1.8,91.4,2,P
Merluza,17.8,0,1.1,81.1,2,P
Pez Espada,17.5,0,3,97,2,P
Emperador,23.5,0,7.9,165.1,2,P
Salmón ahumado,23,0,9,173,2,P
Caballa fresca,19,0,14,202,2,P
Atún al natural,24,0,0.8,103.2,1,P
Atún en escabeche,25.4,0,4.2,139.4,1,P
Atún en aceite de oliva,24,0,12,204,1,P
Pulpo,18,1.4,1.4,90.2,2,P
Sepia,9.6,0,2,56.4,2,P
Gambas,20.9,0,1.1,93.5,2,P
Arroz blanco,6.6,81,0.9,358.5,2,C
Arroz integral,6.4,74.8,2.5,347.3,2,C
Pasta blanca,11,72,1.5,345.5,2,C
Pasta integral,12,66,2,330,2,C
Patata cocida,2.1,20,0.2,90.2,2,C
Batata cocida,2,20.7,0.1,91.7,1,C
Pan blanco,8.5,51.5,1.6,254.4,1,C
Pan de centeno,8.5,42.2,1.1,212.7,1,C
Pan integral,7,41.4,0.9,201.7,1,C
Pan multicereal,8,48,2.9,250.1,1,C
Cereales integrales,9.4,82,1.5,379.1,1,C
Garbanzos,21,44,6.3,316.7,2,C
Guisantes,5,14,0.4,79.6,2,C
Judías Blancas,7,16,0,92,2,C
Alubias negras,21.4,40,1,254.6,2,C
Judías verdes,1.9,4.2,0.2,26.2,2,C
Lentejas,25,54,1.8,332.2,2,C
Tortitas de arroz,8,83,1.5,377.5,1,C
Tortitas de maíz,9,85.6,2.6,401.8,1,C
Aceite de oliva,0,0,100,900,1,G
Nueces,15,11,64,680,1,G
Avellanas,12,10.5,61.6,644.4,1,G
Cacahuetes tostados,23.6,18.7,46.9,591.3,1,G
Pistachos,17.6,11.6,51.6,581.2,1,G
Almendras ,26,14.3,53.3,640.9,1,G
Crema de cacahuete,24.3,12.6,47.4,574.2,1,G
Cereales granola,10,76.7,8.3,421.5,1,C
Leche descremada,3,5,0.5,36.5,1,C
Tomate rojo,0.88,3.5,0.21,19.41,2,C
Atun en agua,25,0,0.96,108.64,1,P
Trucha,18.75,0,6.7,135.3,2,P
Tilapia,26,0,2.7,128.3,2,P
Tortitas arroz integral,9,81.8,0,363.2,1,C
Proteinas Soya,45.5,39.4,7.6,408,1,P
Espárragos conserva,1.88,1.5,0.31,16.31,2,P
Queso fresco light,26.7,3.3,10,210,1,P
